Semester,Class_Mode,Start_Date,End_Date
Spring 2020 Semester,In-Person,2020-01-08,2020-03-22
Spring 2020 Semester,Virtual,2020-03-23,2020-04-29
Summer 2020, ,2020-04-30,2020-08-24
Fall 2020 Semester,Virtual,2020-08-25,2020-09-13
Fall 2020 Semester,Hybrid,2020-09-14,2020-11-24
Fall 2020 Semester,Virtual,2020-11-25,2020-12-14
 , ,2020-12-15,2021-01-10
Spring 2021 Semester,Hybrid,2021-01-11,2021-04-30
Summer 2021, ,2021-05-01,2021-08-23
Fall 2021 Semester, ,2021-08-24,2021-12-13
  , ,2021-12-14,2022-01-09
Spring 2022 Semester, ,2022-01-10,2022-05-02
Summer 2022, ,2022-05-03,2022-08-22
Fall 2022 Semester, ,2022-08-23,2022-12-12
 &nbsp; , ,2022-12-13,2023-01-10
Spring 2023 Semester, ,2023-01-11,2023-05-03
